student_id,group,mark,attendance,gender_code,h1,h2,h3,lik1,gad1,gad2,gad3,gad4,gad5,gad6,gad7
165,B,66.71588,83.3,3,175.2,176.4,161.6,4,3,1,2,1,3,1,0
166,A,61.60807,89.2,1,183.8,165,180.8,1,3,2,0,2,2,2,2
167,B,67.57469,70.4,1,161.6,188.1,171.5,3,3,2,1,3,2,0,0
168,C,83.86103,83.8,2,163.2,165.5,165.5,4,1,0,3,2,3,0,2
169,B,55.94367,72.2,2,182.1,172.3,171,4,0,1,1,3,2,1,3
170,A,72.42693,80.5,2,173.4,180.2,174.1,5,3,1,2,1,2,0,1
171,C,50.75751,94.4,3,146.1,173.2,164.8,4,0,1,3,3,2,1,2
172,C,51.79895,89,3,157,165.5,167.6,5,0,1,2,1,3,2,0
173,C,63.23941,87,3,184.2,180.7,166.5,5,0,3,2,2,0,0,1
174,C,61.68484,73.7,3,159.4,177.1,165.8,1,3,0,1,1,0,3,0
175,C,66.25382,87.7,3,173.4,161.9,165.6,3,1,1,1,3,1,3,2
176,A,62.25602,87.3,2,166.2,175.2,172.1,5,3,1,0,0,3,0,1
177,C,65.29913,71.4,2,160.5,181.8,167,1,1,0,0,3,1,2,0
178,A,70.99419,72.2,1,172.3,155.6,167.5,1,0,1,3,0,1,2,3
179,A,67.85476,69.8,2,171.1,183.1,156.4,1,2,3,0,0,2,1,2
180,C,74.99646,91.8,3,166.5,182.2,164.8,5,2,3,2,2,2,2,1
181,B,62.93165,70.3,3,165.4,162.1,172.9,3,1,3,3,0,0,3,2
182,A,49.73841,75.6,3,163.4,168.5,178.5,1,0,2,0,1,2,1,1
183,A,68.84654,88.2,1,171.4,158.3,158.9,1,0,2,0,0,2,2,0
184,A,67.68551,75.5,1,151.5,183.2,168.6,5,1,0,3,3,2,1,0
185,B,62.6095,64.4,2,160.1,159.3,168.7,1,1,1,0,0,2,1,3
186,C,67.5988,80.1,2,165.6,177.3,156.3,5,0,2,3,1,0,2,2
187,A,62.05935,102.8,2,155.1,171.9,157.6,2,3,2,2,1,2,0,2
188,A,68.62086,99.7,1,181.3,168.6,174.5,2,1,1,2,2,3,0,0
189,A,75.15851,91,3,169.5,180.3,184.1,4,3,3,0,0,1,0,2
190,B,80.29301,67.1,2,168,185.9,169.5,3,0,2,3,3,0,0,2
191,A,61.4763,80.9,2,171,168.5,162,5,1,1,0,2,1,1,3
192,B,70.98413,64.8,1,182.7,181.3,158.9,4,1,2,3,0,1,1,1
193,B,69.20717,85.2,3,173.8,173.9,173.8,2,2,3,3,0,0,3,1
194,A,52.03152,71.7,3,174.1,172.6,174.9,2,3,0,2,3,2,1,2
195,C,74.87389,86.1,1,166,161.5,163.4,3,0,0,3,0,2,0,2
196,A,61.73618,74.9,1,159.2,158.3,168.7,2,2,2,3,1,0,1,3
197,B,72.95536,93.6,1,172.2,159.1,167.3,2,2,0,3,0,1,3,0
198,A,58.14615,85.3,3,147,165.9,163.9,5,1,1,0,2,2,3,1
199,C,61.98594,79.3,3,166.7,168.5,176.7,2,2,1,3,1,1,2,0
200,A,61.72284,80.7,2,171.2,160.5,154.7,2,0,3,2,1,1,1,0
